time,envelope_standardized
5.4,-0.293332541081191
5.41,-0.190831539323935
5.42,-0.232038048044457
5.43,-0.377744185527623
5.44,-0.402714993444749
5.45,-0.442825914085796
5.46,-0.297292024737877
5.47,-0.171371411048922
5.48,0.820038672503891
5.49,1.28749100876293
5.5,3.77438262125395
5.51,5.62856060944627
5.52,4.21083538001148
5.53,2.61099672690753
5.54,3.42222160035499
5.55,2.22052756120486
5.56,3.17443803810484
5.57,2.33421050661389
5.58,3.90794839516413
5.59,1.99938326335527
5.6,4.78350066236759
5.61,2.1570328979478
5.62,3.31974428604555
5.63,2.645353884255
5.64,1.38600525065941
5.65,0.864384244707473
5.66,0.771046469387203
5.67,0.725481885129261
5.68,0.743424524824832
5.69,0.507881495086158
5.7,0.498921322638021
5.71,1.03267136780452
5.72,0.996757163357417
5.73,0.789978165944563
5.74,1.29679621855836
5.75,1.43329287344446
5.76,0.885581668743355
5.77,1.45321436807855
5.78,2.0254246260418
5.79,1.37269464323048
5.8,1.31113463234319
5.81,1.3960128623668
5.82,1.20467790540759
5.83,0.787981112848791
5.84,1.60762243334373
5.85,1.18573482715043
5.86,1.36139786655766
5.87,1.20138984083156
5.88,1.30102563730411
5.89,1.61682035570467
5.9,1.12352950444059
5.91,1.21426507652716
5.92,1.23783060274598
5.93,0.425528921400715
5.94,-0.0532128704327836
5.95,-0.193809506529783
5.96,-0.31831696929083
5.97,-0.434933369227482
5.98,-0.529517992341436
5.99,-0.47771122812158
6,-0.531669746499809
6.01,-0.507052864478256
6.02,-0.416770605214327
6.03,1.60761888453422
6.04,2.49298970323029
6.05,0.132418933080258
6.06,-0.124233531787349
6.07,-0.048290242684309
6.08,-0.258073129987843
6.09,-0.357227172764692
6.1,-0.355186007938778
6.11,-0.210850475370126
6.12,-0.0801931684560958
6.13,0.10659932772801
6.14,0.225526651532712
6.15,-0.0223483543172617
6.16,-0.145028739996795
6.17,-0.348208198097353
6.18,-0.477108451300513
6.19,-0.279105731457308
6.2,0.0784996756852859
6.21,-0.588671975463729
6.22,-0.53521545797917
6.23,-0.668867589525088
6.24,-0.619849793024742
6.25,-0.633786774191042
6.26,-0.662600892028242
6.27,-0.701010388214599
6.28,-0.502973032753255
6.29,-0.434412289179335
6.3,-0.667554988502378
6.31,-0.716809387835759
6.32,-0.692921495955163
6.33,-0.685424722914783
6.34,-0.707386527785858
6.35,-0.570229449952441
6.36,-0.547583062297995
6.37,-0.199167868750987
6.38,-0.404431375107171
6.39,0.753410177679189
6.4,2.13453249211775
6.41,1.03866838876189
6.42,0.34687087856444
6.43,-0.171376656697216
6.44,-0.0413047758821874
6.45,-0.247543723711956
6.46,-0.104859486516232
6.47,-0.14413165519431
6.48,-0.110577317744128
6.49,-0.00828470081547445
6.5,2.50507550301915
6.51,2.90135938686455
6.52,1.13736153591055
6.53,0.852053884032902
6.54,4.3083342936776
6.55,1.62475346299652
6.56,2.55705142904423
6.57,1.5919207719814
6.58,2.08165452621044
6.59,1.0855158362208
6.6,0.949326930765689
6.61,0.430195748540006
6.62,0.53637863164532
6.63,0.581351007243375
6.64,0.375864211562911
6.65,-0.33788289003237
6.66,-0.132922373077727
6.67,-0.594490161336852
6.68,-0.506584377908066
6.69,-0.51972227009437
6.7,-0.499989685155985
6.71,-0.548701691750503
6.72,-0.386566101865961
6.73,-0.407277390736018
6.74,-0.371662883026284
6.75,-0.42410649020926
6.76,-0.613504064031319
6.77,-0.539937413437255
6.78,-0.253884319974434
6.79,-0.343020950360724
6.8,0.314571842885401
6.81,0.878638832101118
6.82,0.353055044052014
6.83,0.305578087250325
6.84,1.8194798552613
6.85,1.20307933616072
6.86,0.712465417350718
6.87,1.56151577905986
6.88,2.62295432987346
6.89,1.21539306500196
6.9,0.682357118939553
6.91,2.24524834442058
6.92,2.21968333562795
6.93,1.36656665014891
6.94,1.26507203803202
6.95,2.66818824853284
6.96,2.40287435237375
6.97,1.13320447679416
6.98,1.29687706966739
6.99,2.53694175398903
7,0.995329616292076
7.01,0.186189563492244
7.02,-0.1805207194215
7.03,-0.207859714125459
7.04,-0.390780548904785
7.05,-0.0409621404097078
7.06,0.751397900431334
7.07,1.36618269002158
7.08,1.92295048690215
7.09,2.50384805489341
7.1,1.95317411725918
7.11,0.689642746417776
7.12,0.245620233354238
7.13,0.191536741354622
7.14,-0.00313495732520348
7.15,-0.176219615120306
7.16,-0.504843577523916
7.17,-0.415666782807979
7.18,-0.36306835061192
7.19,0.631627428871463
7.2,0.312401661325291
7.21,0.24007924164989
7.22,0.168308321287328
7.23,-0.125448798697706
7.24,-0.0533550033663547
7.25,-0.232272734070549
7.26,-0.262206902773712
7.27,-0.344392354233828
7.28,-0.456476425370175
7.29,-0.591963803862079
7.3,-0.689266327957702
7.31,-0.389246451441231
7.32,-0.385414217861856
7.33,-0.343096876275149
7.34,-0.454918067674977
7.35,-0.589103331871946
7.36,-0.701364036867493
7.37,-0.696256217292125
7.38,-0.72108063231516
7.39,-0.692614001789514
7.4,-0.72897678216529
7.41,-0.752477652145884
7.42,-0.748333662384027
7.43,-0.745116604139993
7.44,-0.737315487880637
7.45,-0.0975024437370329
7.46,-0.338397081678418
7.47,1.29769797873569
7.48,1.71944241609901
7.49,0.631226045619557
7.5,-0.15150259117994
7.51,0.140844397510204
7.52,-0.0403369835713269
7.53,-0.277994459083217
7.54,-0.270756932827173
7.55,-0.173727238815131
7.56,0.337972693688821
7.57,0.383041949952643
7.58,1.75621949465119
7.59,3.0169023110812
7.6,3.67441707347007
7.61,3.27160754061882
7.62,2.42879549636834
7.63,1.55831509747663
7.64,5.02289910109354
7.65,5.94235503196235
7.66,3.25399363862463
7.67,1.75017167457258
7.68,4.36022954046234
7.69,3.61569175671715
7.7,1.42551939002655
7.71,1.78437972122287
7.72,2.37333402052382
7.73,1.0179274524345
7.74,0.343854425324528
7.75,-0.0178875270419484
7.76,-0.279609544665401
7.77,0.407062045665693
7.78,-0.0149681464415206
7.79,-0.0335268799396668
7.8,-0.0200426022403977
7.81,-0.232217069972835
7.82,0.478440662319095
7.83,0.756603491479096
7.84,0.628417613988145
7.85,0.663781856206561
7.86,0.637368114281286
7.87,0.810767127965637
7.88,0.88197352405197
7.89,0.720769409711543
7.9,0.1434420352589
7.91,-0.129375181145171
7.92,-0.323971480721882
7.93,-0.240860557830692
7.94,-0.142560077884324
7.95,-0.28831170153784
7.96,-0.308784225853048
7.97,-0.294801073652148
7.98,-0.24013854629867
7.99,-0.426164224737825
8,-0.17785204579093
8.01,-0.610190011775311
8.02,-0.673662651979506
8.03,-0.678185896916047
8.04,-0.698071282744143
8.05,-0.573420381231905
8.06,-0.386215268290917
8.07,-0.560401536486536
8.08,-0.614412821364282
8.09,0.0584593412240401
8.1,0.190280894673935
8.11,0.0485825661067574
8.12,-0.00439887420911112
8.13,0.0290476477195395
8.14,-0.040548144946201
8.15,0.0684636586544253
8.16,-0.584751975336048
8.17,-0.460246138379356
8.18,-0.487807275983101
8.19,-0.379318687212446
8.2,-0.352048670724784
8.21,0.436981315676366
8.22,0.875080117543124
8.23,1.08121614171376
8.24,0.915613286399316
8.25,0.744966294877205
8.26,0.990979533860141
8.27,1.12474609857695
8.28,0.428623823624713
8.29,-0.340215934116634
8.3,-0.422796528334067
8.31,-0.522789620854384
8.32,-0.540914357200428
8.33,-0.476144135300472
8.34,-0.393108550614465
8.35,-0.575594468233607
8.36,-0.684105430162841
8.37,-0.672189898584667
8.38,-0.67945479849036
8.39,-0.414603550500156
8.4,-0.385229824299771
8.41,0.276405336092186
8.42,0.654692613995646
8.43,0.448910132779522
8.44,0.357580845469627
8.45,-0.023943757038739
8.46,-0.224900928741083
8.47,-0.486769478327419
8.48,-0.495347240952017
8.49,-0.453956129647987
8.5,-0.632389258940251
8.51,-0.649801182557023
8.52,-0.58362096939431
8.53,-0.441116892079298
8.54,-0.620576583287822
8.55,-0.627718318478484
8.56,-0.560034005989806
8.57,-0.604343750926778
8.58,-0.471732877824528
8.59,-0.539120448658228
8.6,-0.160339989554184
8.61,0.140161336839308
8.62,0.177193019693462
8.63,0.788821004210423
8.64,0.466956333328124
8.65,0.294472034118914
8.66,0.206420412061805
8.67,0.183402422785621
8.68,0.134573085780768
8.69,0.0163951590188623
8.7,-0.343317146015086
8.71,-0.526471318602561
