Unnamed: 0,POS_sentence,POS_word,base,dep,freq,function,index_s,ld20,length,open,story,type,v_onset,word,xmax,xmin,local_freq,entropy,isV,isN,isC,is_key,is_key_and_C,duration,freq_binary,freq_quart,sc_onset,ivc_avg,Entropy_Roark,Surprisal_Roark,env_avg
1922,APPR,PREP,mit,26.0,2.0,cj,27.0,1.45,0.2,0.0,9.0,low,129.5,mit,129.64,129.44,0.006930693000000001,8.53e-06,0,0,0,0,0,0.19999999999998866,0,1,128.1079,-0.07670564349119482,7.4570000000000025,2.315,-0.23597314370228348
1923,NN,N,Rubin,27.0,14.0,pn,28.0,2.75,0.63,0.0,9.0,low,129.71,Rubinen,130.27,129.64,0.000990099,1.7e-06,0,1,1,0,0,0.6300000000000239,1,4,128.3179,-0.03955781315943215,6.147,1.868,-0.29856335114469257
1924,KON,KON,und,28.0,1.0,kon,29.0,1.45,0.12,0.0,9.0,low,130.47,und,130.59,130.47,0.048514851,3.63e-05,0,0,0,0,0,0.12000000000000455,0,1,129.0779,-0.38839343446584257,3.332,0.247,-0.2630552564092153
1925,NN,N,Goldring,29.0,17.0,cj,30.0,2.8,0.72,0.0,9.0,low,130.67,Goldringen,131.31,130.59,0.000247525,5.09e-07,0,1,1,0,0,0.7199999999999989,1,4,129.2779,-0.4058494873069508,7.147,1.6130000000000002,0.07241681139785225
1926,APPR,PREP,in,30.0,1.0,pp,31.0,1.7,0.12,0.0,9.0,low,131.31,in,131.43,131.31,0.019059406,1.87e-05,0,0,0,0,0,0.12000000000000455,0,1,129.9179,-0.5525380873471367,1.788,1.5719999999999998,-0.49560649305393795
1927,ART,ART,die,34.0,0.0,det,32.0,1.25,0.15,1.0,9.0,low,131.46,den,131.58,131.43,0.109653465,6e-05,0,0,0,0,0,0.15000000000000568,0,1,130.0679,-0.5260404055197134,5.9079999999999995,1.46,-0.2775511542929581
1928,ADJA,ADJA,fein,34.0,11.0,attr,33.0,1.35,0.385,2.0,9.0,low,131.69,feinen,132.075,131.69,0.0014851489999999998,2.39e-06,1,1,1,0,0,0.3849999999999909,1,3,130.2979,-0.5301799787608606,7.664,9.641,0.1157147867045983
1929,NN,N,Ohrmuschel,31.0,17.0,pn,34.0,3.55,0.555,0.0,9.0,low,132.075,Ohrmuscheln,132.63,132.075,0.000247525,5.09e-07,0,1,1,0,0,0.5550000000000068,1,4,130.6829,-0.4985214989526635,7.725,1.5919999999999999,-0.32601376145890804
1930,NE,N,Samir,0.0,15.0,root,1.0,1.85,0.66,0.0,9.0,low,133.73,Samir,134.39,133.73,0.013861386000000002,1.47e-05,0,1,1,0,0,0.6599999999999966,1,4,132.3379,-0.5594378811806018,5.939,3.66,0.5142796904523186
1931,ADJD,ADV,hungrig,4.0,13.0,pred,3.0,2.35,0.59,1.0,9.0,low,134.87,hungrig,135.43,134.84,0.00049505,9.33e-07,1,1,1,0,0,0.5900000000000034,1,4,133.4779,-0.4664098941165532,7.487999999999999,3.26,0.3229266146706142
1932,VAPP,V,werden,0.0,3.0,root,4.0,2.25,0.57,0.0,9.0,low,135.53,geworden,136.07,135.5,0.003217822,4.57e-06,1,1,1,0,0,0.5699999999999932,0,2,134.1379,-0.5430125014893752,6.084,3.5980000000000003,0.18738308671916737
1933,VVFIN,V,blähen,0.0,17.0,root,6.0,1.65,0.52,0.0,9.0,low,136.68,blähte,137.05,136.53,0.000247525,5.09e-07,1,1,1,1,1,0.5200000000000102,1,4,135.2879,-0.2738890179620997,5.371,3.832,0.8206810814827276
1934,ART,ART,die,8.0,0.0,det,7.0,1.25,0.11,1.0,9.0,low,137.08,die,137.16,137.05,0.109653465,6e-05,0,0,0,0,0,0.10999999999998522,0,1,135.6879,0.16186514283311929,5.11,1.081,0.02005961927227905
1935,NN,N,Nasenflügel,6.0,16.0,obja,8.0,3.65,0.93,0.0,9.0,low,137.24,Nasenflügel,138.09,137.16,0.000247525,5.09e-07,0,1,1,0,0,0.9300000000000068,1,4,135.8479,-0.3490301930193526,7.9129999999999985,1.745,0.16028270143193052
1936,APPR,PREP,bei,6.0,3.0,pp,9.0,1.0,0.11,0.0,9.0,low,138.12,bei,138.2,138.09,0.002227723,3.37e-06,0,0,0,0,0,0.10999999999998522,0,2,136.7279,-0.4747461755238986,4.555,3.472,0.5919468093566155
1937,ART,ART,die,11.0,0.0,det,10.0,1.6,0.2,1.0,9.0,low,138.23,dem,138.4,138.2,0.109653465,6e-05,0,0,0,0,0,0.20000000000001705,0,1,136.8379,-0.5230156497412211,5.75,2.785,-0.20665947091998302
1938,NN,N,Essensdampf,9.0,24.0,pn,11.0,4.2,0.66,0.0,9.0,low,138.4,Essensdampf,139.06,138.4,0.000247525,5.09e-07,0,1,1,0,0,0.6599999999999966,1,4,137.0079,-0.4779978831231713,7.731,1.6840000000000002,-0.11170188110304535
1939,PTKVZ,PTKVZ,auf,6.0,2.0,avz,12.0,1.3,0.26,0.0,9.0,low,139.14,auf,139.4,139.14,0.014356436,1.51e-05,0,0,0,0,0,0.2600000000000193,0,1,137.7479,-0.4715945291628693,4.57,2.89,0.1892384737073733
1940,VVFIN,V,greifen,6.0,10.0,kon,14.0,1.75,0.35,0.0,9.0,low,140.53,griff,140.76,140.41,0.000247525,5.09e-07,1,1,1,1,1,0.3499999999999943,1,3,139.1379,1.6060361980563331,5.715,9.54,0.5776175528898123
1941,APPR,PREP,in,14.0,1.0,objp,15.0,1.7,0.1,0.0,9.0,low,140.84,in,140.94,140.84,0.019059406,1.87e-05,0,0,0,0,0,0.09999999999999433,0,1,139.4479,7.262633766381674,1.624,1.483,0.6859374982585593
1942,ART,ART,die,18.0,0.0,det,16.0,1.25,0.17,1.0,9.0,low,140.97,den,141.11,140.94,0.109653465,6e-05,0,0,0,0,0,0.17000000000001592,0,1,139.5779,4.127499720400082,5.355,1.466,1.195769889962588
1943,ADJA,ADJA,nah,18.0,11.0,attr,17.0,1.9,0.53,2.0,9.0,low,141.17,nächsten,141.64,141.11,0.001237624,2.05e-06,1,1,1,0,0,0.5299999999999727,1,3,139.7779,1.6933041043449168,7.787000000000001,4.29,0.6235470770868162
1944,NN,N,Palmenzweig,15.0,20.0,pn,18.0,3.6,0.75,0.0,9.0,low,141.68,Palmenzweig,142.39,141.64,0.000247525,5.09e-07,0,1,1,0,0,0.75,1,4,140.2879,-0.2734738659012507,5.6739999999999995,1.6059999999999999,0.22167485175357365
1945,KON,KON,und,14.0,1.0,kon,19.0,1.45,0.2,0.0,9.0,low,142.79,und,142.99,142.79,0.048514851,3.63e-05,0,0,0,0,0,0.20000000000001705,0,1,141.3979,2.2259934677277182,4.386,0.304,-0.11216040670365514
1946,VVFIN,V,schwingen,19.0,13.0,cj,20.0,1.6,0.29,0.0,9.0,low,143.11,schwang,143.28,142.99,0.000247525,5.09e-07,1,1,1,0,0,0.28999999999999204,1,4,141.7179,1.1955368450885542,7.263,10.538,0.5940107631319435
1947,PRF,PRO,sie,20.0,3.0,obja,21.0,1.4,0.22,0.0,9.0,low,143.28,sich,143.5,143.28,0.016831683,1.7e-05,0,1,0,0,0,0.21999999999999886,0,2,141.8879,0.1206262684048056,3.335,0.012,0.15764115283595487
1948,KOKOM,KOKOM,wie,20.0,3.0,kom,22.0,1.5,0.22,0.0,9.0,low,143.68,wie,143.8,143.58,0.01039604,1.18e-05,0,0,0,0,0,0.21999999999999886,0,2,142.2879,-0.2712120167337745,5.303,0.31,0.04861276346707405
1949,ART,ART,eine,24.0,3.0,det,23.0,1.0,0.2,1.0,9.0,low,143.8,ein,144.0,143.8,0.018564356,1.83e-05,0,0,0,0,0,0.19999999999998866,0,2,142.4079,-0.4709769428530559,5.29,1.766,0.2866933126069434
1950,NN,N,Affe,22.0,14.0,cj,24.0,1.45,0.41,0.0,9.0,low,144.0,Affe,144.41,144.0,0.000247525,5.09e-07,0,1,1,0,0,0.4099999999999966,1,4,142.6079,-0.4624536990718624,8.172,1.758,-0.1367188487541261
1951,APPR,PREP,in,20.0,1.0,pp,25.0,1.7,0.14,0.0,9.0,low,144.41,in,144.55,144.41,0.019059406,1.87e-05,0,0,0,0,0,0.14000000000001478,0,1,143.0179,-0.5773022432598658,5.666,1.643,-0.01474465972160106
1952,ART,ART,die,27.0,0.0,det,26.0,1.25,0.16,1.0,9.0,low,144.58,die,144.71,144.55,0.109653465,6e-05,0,0,0,0,0,0.1599999999999966,0,1,143.1879,-0.4113113703062447,5.7120000000000015,1.903,-0.3524117164077308
1953,NN,N,Krone,25.0,11.0,pn,27.0,1.9,0.36,0.0,9.0,low,144.8,Krone,145.07,144.71,0.00049505,9.33e-07,0,1,1,0,0,0.3599999999999852,1,3,143.4079,-0.5925041038539155,8.019,10.235,-0.0102478050196613
1954,APPR,PREP,von,3.0,2.0,objp,1.0,1.0,0.23,1.0,9.0,low,145.9,Von,146.13,145.9,0.012376238,1.35e-05,0,0,0,0,0,0.2299999999999897,0,1,144.5079,-0.5243679843695309,5.939,3.758,-0.2317885344322701
1955,ADV,ADV,dort,1.0,6.0,adv,2.0,1.2,0.29,1.0,9.0,low,146.16,dort,146.42,146.13,0.001732673,2.73e-06,1,1,1,0,0,0.28999999999999204,1,2,144.7679,-0.5468374591038665,5.604,3.0989999999999998,0.5842311053152153
1956,VVFIN,V,reichen,0.0,9.0,root,3.0,1.7,0.48,0.0,9.0,low,146.95,reichte,147.31,146.83,0.000742574,1.32e-06,1,1,1,1,1,0.4799999999999898,1,3,145.5579,-0.5354601176399996,5.84,8.026,0.6604348860099896
1957,PPER,PRO,er,3.0,3.0,subj,4.0,1.15,0.26,0.0,9.0,low,147.31,er,147.57,147.31,0.025,2.28e-05,0,1,0,0,0,0.2599999999999909,0,2,145.9179,-0.3658377633742244,5.095,1.475,0.9341844622044057
1958,APPR,PREP,ohne,10.0,6.0,pp,6.0,1.6,0.27,1.0,9.0,low,147.57,ohne,147.84,147.57,0.000742574,1.32e-06,0,0,0,0,0,0.27000000000001023,1,2,146.1779,1.0614544411135876,5.705,6.402,2.0365870718116588
1959,ART,ART,eine,8.0,3.0,det,7.0,1.0,0.33,2.0,9.0,low,147.84,ein,148.17,147.84,0.018564356,1.83e-05,0,0,0,0,0,0.3299999999999841,0,2,146.4479,2.1169924086854595,5.53,5.175,1.1064324007810995
1960,NN,N,Wort,6.0,8.0,pn,8.0,1.2,0.28,1.0,9.0,low,148.2,Wort,148.45,148.17,0.000247525,5.09e-07,0,1,1,0,0,0.28000000000000114,1,3,146.8079,1.077863404163721,8.244,7.5539999999999985,0.6623399069781546
1961,PTKZU,PTKZU,zu,10.0,2.0,part,9.0,2.0,0.17,2.0,9.0,low,148.55,zu,148.62,148.45,0.010643564,1.2e-05,0,0,0,0,0,0.17000000000001592,0,1,147.1579,0.05636539849351874,4.95,0.711,0.016912050787831624
1962,VVINF,V,reden,3.0,8.0,obji,10.0,1.65,0.47,0.0,9.0,low,148.65,reden,149.09,148.62,0.000247525,5.09e-07,1,1,1,0,0,0.4699999999999989,1,3,147.2579,-0.21593776529464634,6.086,2.685,0.3530547667537662
1963,ART,ART,die,13.0,0.0,det,12.0,1.6,0.14,1.0,9.0,low,149.3,dem,149.4,149.26,0.109653465,6e-05,0,0,0,0,0,0.14000000000001478,0,1,147.9079,-0.2818872328488749,2.379,4.176,-0.0664045966345451
1964,NN,N,Mädchen,0.0,8.0,root,13.0,1.45,0.52,0.0,9.0,low,149.49,Mädchen,149.92,149.4,0.002227723,3.37e-06,0,1,1,0,0,0.5199999999999818,1,3,148.0979,-0.3962682233216173,7.761,8.75,0.5453243553930757
1965,ART,ART,die,15.0,0.0,det,14.0,1.25,0.18,1.0,9.0,low,149.95,den,150.1,149.92,0.109653465,6e-05,0,0,0,1,0,0.18000000000000682,0,1,148.5579,0.05103450218713612,5.063,4.268,-0.11370527108102585
