time,ivc_raw,ivc_standarized
3.79,274982.4308464142,-1.0024799700008526
3.8,653596.7548100569,-0.9171610796302134
3.81,996626.4007888016,-0.839861022799954
3.82,1144550.630102578,-0.8065270195539613
3.83,1080772.2246828156,-0.8208991719940931
3.84,926471.490845199,-0.8556700894189315
3.85,835501.5726048696,-0.8761697165860167
3.86,877088.5473580406,-0.8667982947584763
3.87,999932.1869137649,-0.8391160800280276
3.88,1099758.9893878154,-0.8166205972180511
3.89,1123693.527753848,-0.8112270657912807
3.9,1114670.107700883,-0.8132604494683892
3.91,1154552.3850889837,-0.8042731728736093
3.92,1259195.886162535,-0.78069227053841
3.93,1329510.222062727,-0.7648472780580704
3.94,1220629.8346211866,-0.789382942061447
3.95,886315.7079921829,-0.8647189991355978
3.96,475845.6471431108,-0.957216424366067
3.97,280354.80556156265,-1.0012693315745163
3.98,539919.3464056415,-0.9427777288994208
3.99,1244466.3822665692,-0.784011492365407
4.0,2088255.3249846303,-0.5938677715836408
4.01,2636256.0731782005,-0.4703784770723077
4.02,2601264.1573352106,-0.4782637345565263
4.03,2036416.2775365126,-0.6055494479656709
4.04,1298739.814375929,-0.7717812392790988
4.05,804350.5834282303,-0.8831894399886471
4.06,751558.2757993618,-0.8950859289007597
4.07,1013035.3313771329,-0.8361633503629765
4.08,1269669.165449003,-0.7783321681579489
4.09,1274218.054101908,-0.7773070982973519
4.1,1036017.4605740658,-0.8309844396949657
4.11,785336.4962573337,-0.8874741717490526
4.12,754772.709369698,-0.894361571981243
4.13,962993.4083175206,-0.8474400535335332
4.14,1183976.390324238,-0.7976426168749599
4.15,1132863.1279182017,-0.8091607411393897
4.16,719132.9192375508,-0.9023928247750735
4.17,155834.3392512368,-1.0293294110316575
4.18,-176324.72824298692,-1.104179836045886
4.19,-14203.858792154411,-1.067646689220737
4.2,575157.4476807166,-0.9348369947293995
4.21,1227282.4302134681,-0.7878838121075772
4.22,1541445.1460563326,-0.717088777120698
4.23,1372264.8781058404,-0.7552127249498073
4.24,926366.428380151,-0.8556937647327538
4.25,589802.4311093517,-0.9315368191772787
4.26,623223.9760955318,-0.9240054371026609
4.27,965417.49330904,-0.8468937978095675
4.28,1298350.4883669175,-0.7718689719954248
4.29,1317357.0449504342,-0.7675859372161382
4.3,986108.5812616206,-0.8422311621063155
4.31,569541.6833633377,-0.9361024798149237
4.32,418582.85075753136,-0.9701203161047396
4.33,682759.7849920925,-0.9105893330863196
4.34,1186507.103412828,-0.7970723330296353
4.35,1572409.6775675258,-0.7101110710431133
4.36,1596029.3955622532,-0.704788482850779
4.37,1330036.4582635777,-0.7647286932980977
4.38,1105545.5625267213,-0.8153166211980963
4.39,1232008.8562268987,-0.7868187350691196
4.4,1721864.8768229466,-0.6764320711914865
4.41,2250324.9629462124,-0.5573461695245987
4.42,2396042.5323780184,-0.52450942631511
4.43,1980182.0167037342,-0.6182215642364923
4.44,1233560.8420834816,-0.7864690026296061
4.45,648863.1417531036,-0.918227776233858
4.46,620684.4994280025,-0.9245776957777356
4.47,1146825.749638532,-0.8060143324684964
4.48,1822886.59744853,-0.6536673194069367
4.49,2138414.3244442698,-0.5825646858176388
4.5,1850784.4813521262,-0.6473806674033206
4.51,1154140.8918565991,-0.8043659008655526
4.52,520513.55243158195,-0.947150729876497
4.53,342453.8310209506,-0.9872756192135392
4.54,653859.9177692996,-0.9171017771415113
4.55,1135779.2906171961,-0.8085035981052494
4.56,1386769.1663612644,-0.7519442543684157
4.57,1234742.9476114747,-0.7862026209172251
4.58,846858.9113624417,-0.8736103957177113
4.59,565259.855919029,-0.9370673687353492
4.6,616681.6202479851,-0.9254797250679946
4.61,936175.4780392589,-0.853483343257559
4.62,1240681.632549578,-0.7848643672455852
4.63,1278589.7648123265,-0.7763219546215142
4.64,1040423.9072379584,-0.8299914684415146
4.65,756173.739055865,-0.8940458567781078
4.66,688070.7172269117,-0.9093925404231028
4.67,898886.6973043268,-0.861886188037103
4.68,1193363.9860949232,-0.7955271679769411
4.69,1282178.4438540926,-0.7755132633112265
4.7,1029699.5309452073,-0.8324081543070567
4.71,576410.3569112153,-0.9345546577481616
4.72,232368.27888489625,-1.0120828611999497
4.73,230393.5718255992,-1.0125278517997307
4.74,545277.2530705472,-0.9415703507776065
4.75,929416.2278051137,-0.8550065073145274
4.76,1132570.1980068912,-0.8092267514654855
4.77,1117351.070858935,-0.8126563075030906
4.78,1084693.41989114,-0.8200155497882596
4.79,1284477.1613178076,-0.7749952585478922
4.8,1771609.9723646222,-0.6652222566536595
4.81,2320460.665813595,-0.5415414311265222
4.82,2582617.387594212,-0.4824656931265132
4.83,2367798.431130005,-0.5308740967078442
4.84,1816367.9930810407,-0.65513625509214
4.85,1311267.3867472692,-0.7689582119763514
4.86,1187338.9210921244,-0.796884886974649
4.87,1466291.9596562479,-0.7340241809489186
4.88,1833609.0416323324,-0.6512510689327179
4.89,1884069.065114121,-0.6398801488722395
4.9,1446138.632474443,-0.7385656348866021
4.91,728204.698921937,-0.900348543491006
4.92,168655.89723084655,-1.0264401355066561
4.93,107052.35247684117,-1.040322193708486
4.94,535631.8040939352,-0.9437439056373276
4.95,1124244.651916349,-0.8111028726505964
4.96,1491197.5814560177,-0.7284118206089776
4.97,1496631.7574725766,-0.7271872555609418
4.98,1322687.360341499,-0.766384776653246
4.99,1284291.152637123,-0.7750371746964128
5.0,1537264.4686009518,-0.718030872384703
5.01,1932866.1264468678,-0.6288839692172464
5.02,2142359.5007469207,-0.5816756595892201
5.03,1946346.8857990596,-0.6258461458796564
5.04,1442132.4944231724,-0.7394683985475956
5.05,987283.1003112409,-0.841966489969816
5.06,916835.0020155695,-0.857841625153253
5.07,1263902.3469974513,-0.779631692555506
5.08,1717568.8463626716,-0.6774001606922533
5.09,1861133.89023726,-0.6450484786133465
5.1,1503297.5026459952,-0.7256851624131291
5.11,835136.9099582799,-0.8762518915339715
5.12,284765.1881285848,-1.0002754733845012
5.13,187044.28999537264,-1.0222964009275082
5.14,536002.3650897198,-0.943660401525164
5.15,1017956.4316340581,-0.8350544044337045
5.16,1290344.8136601502,-0.7736730117250872
5.17,1267771.765211307,-0.7787597380427184
5.18,1172836.531742836,-0.8001529296468092
5.19,1309992.2238829772,-0.7692455637053729
5.2,1759249.6385247165,-0.6680075975694265
5.21,2261356.3617195254,-0.5548602976412478
5.22,2409283.7863293444,-0.5215255743508841
5.23,1998714.1781612004,-0.6140454320839424
5.24,1242193.0303746217,-0.7845237811209205
5.25,648556.2233619826,-0.9182969387956191
5.26,640524.8211021406,-0.9201067761038235
5.27,1208959.2232637382,-0.7920128573814498
5.28,1891172.5222322443,-0.6382794194736026
5.29,2111006.7601387887,-0.5887408466924454
5.3,1625658.8854508738,-0.6981116218882023
5.31,726926.6967859913,-0.9006365350360398
5.32,29159.493696036305,-1.0578749693388483
5.33,1801.8774062034684,-1.0640398746720614
5.34,611365.5853972806,-0.9266776675808016
5.35,1356151.8866876157,-0.7588437089389038
5.36,1667213.773976722,-0.6887474305354171
5.37,1356790.8108959314,-0.7586997304863357
5.38,756373.0124968961,-0.8940009514805713
5.39,434918.1542852445,-0.9664392351665921
5.4,725919.2483827721,-0.9008635586176319
5.41,1447596.9315285264,-0.7382370143108657
5.42,2046075.3158852716,-0.6033728308072489
5.43,2049295.48460691,-0.6026471814993722
5.44,1465009.3332784846,-0.7343132145442809
5.45,796311.7005071944,-0.8850009630273479
5.46,653101.9343789694,-0.9172725849997703
5.47,1263659.256254891,-0.7796864718681255
5.48,2274820.851765902,-0.5518261405123336
5.49,3003075.6900453344,-0.3877174663909149
5.5,2942794.466670217,-0.4013015459225799
5.51,2136583.1092433436,-0.5829773412273371
5.52,1125841.8295361416,-0.8107429564677671
5.53,533366.4653872903,-0.9442543886606353
5.54,614714.8720601851,-0.9259229221749209
5.55,1124764.417695729,-0.8109857459685283
5.56,1579667.6260825864,-0.7084755277620524
5.57,1674595.6714161467,-0.6870839559690874
5.58,1505423.1620594275,-0.72520615543695
5.59,1423747.6632748006,-0.7436113305339229
5.6,1671736.0893124086,-0.6877283488421846
5.61,2128256.7819493175,-0.5848536384528411
5.62,2396080.394490954,-0.5245008942727167
5.63,2159434.9117535288,-0.5778277990422263
5.64,1498509.3611699569,-0.7267641467299308
5.65,872559.8735023438,-0.867818809313165
5.66,761033.7919753506,-0.8929506675684334
5.67,1251350.09178276,-0.782460282016557
5.68,1926491.073446058,-0.6303205563024602
5.69,2170637.3616253524,-0.5753033816285088
5.7,1663683.1677534748,-0.689543035419431
5.71,664344.7300248108,-0.9147390758627542
5.72,-162310.50308526406,-1.1010217987921873
5.73,-251484.232267319,-1.1211166635199028
5.74,420574.9436073303,-0.9696714077019066
5.75,1319505.2400419505,-0.7671018519348707
5.76,1779886.9906829959,-0.6633570709652044
5.77,1534633.387931578,-0.718623773574591
5.78,916162.5808478458,-0.8579931519821677
5.79,562950.6073490512,-0.937587746632091
5.8,871600.6387529052,-0.8680349681831473
5.81,1650000.7412990474,-0.6926263034544294
5.82,2268221.0925988723,-0.5533133640356002
5.83,2193215.577819538,-0.5702154907846819
5.84,1466140.2718763053,-0.7340583630499338
5.85,712493.8039032322,-0.9038889170185913
5.86,650956.0482645512,-0.9177561499643159
5.87,1486070.2761777805,-0.7295672338335778
5.88,2686080.0400984227,-0.45915088925419595
5.89,3352864.1547592967,-0.30889434273986516
5.9,2913938.6854046797,-0.4078040554224316
5.91,1592620.802889624,-0.705556592576554
5.92,272603.1125948494,-1.0030161377584192
5.93,-150559.5272790397,-1.0983737737358095
5.94,574134.1993693464,-0.9350675787431942
5.95,1905882.6332840233,-0.6349645677294113
5.96,2984568.5492608473,-0.39188796025690315
5.97,3332795.2817482674,-0.31341676534227764
5.98,3210421.2242173734,-0.34099316205486285
5.99,3330689.22193746,-0.313891355643646
6.0,4179280.2235182067,-0.12266551432991038
6.01,5519802.0626892,0.1794145407465603
6.02,6530017.4789128415,0.40706165521704024
6.03,6491373.388954878,0.39835339811762516
6.04,5470985.443299257,0.16841395377881602
6.05,4397332.635712237,-0.0735284672782451
6.06,4395314.2162034195,-0.07398330826522082
6.07,5857496.4779725345,0.25551232937407853
6.08,7991607.981856809,0.7364239428927142
6.09,9263120.996556826,1.0229531961188794
6.1,8471087.440136079,0.8444722990870533
6.11,5679836.745637119,0.21547757562329856
6.12,2294273.4521832843,-0.5474425919316573
6.13,184358.4255628811,-1.0229016473710848
6.14,472355.3561681899,-0.9580029444055981
6.15,2851138.5669718543,-0.4219557556638306
6.16,5903617.132125723,0.26590539373129485
6.17,8146496.102616562,0.771327225094168
6.18,9000121.956024429,0.9636876456984425
6.19,8985728.404606562,0.9604441291230287
6.2,9080520.556790538,0.9818050780578562
6.21,9815960.208295936,1.1475328147798185
6.22,10869701.523069164,1.384988278093942
6.23,11457963.068549925,1.5175501468122414
6.24,11152448.983158043,1.4487040384945347
6.25,10384159.486601813,1.2755737494886457
6.26,10154408.527331203,1.2238004919389902
6.27,11145750.289120251,1.4471945204809171
6.28,12964071.243780296,1.8569442747035654
6.29,14196237.233488139,2.1346068678504877
6.3,13348184.549474342,1.943502333773621
6.31,10013627.928791372,1.1920762710289377
6.32,5383620.4918286,0.14872668828202246
6.33,1652365.7024611467,-0.6920933709969154
6.34,681710.5390514283,-0.9108257755390143
6.35,2843773.105406224,-0.4236155264862032
6.36,6841415.068279226,0.47723358244550723
6.37,10599450.728808748,1.324088580357475
6.38,12561226.237402417,1.766165118289995
6.39,12481315.452410819,1.7481576128349594
6.4,11237355.697291192,1.467837352202848
6.41,9935982.085771296,1.1745791591948858
6.42,9074110.16811709,0.9803605282512418
6.43,8383056.834882237,0.8246350317584279
6.44,7372514.9705051575,0.5969143537895486
6.45,6014564.7008802155,0.2909068869562646
6.46,4926221.601666322,0.04565408036570132
6.47,4869475.844507257,0.032866700893713706
6.48,5996319.471318229,0.2867954135062116
6.49,7514683.865369877,0.6289514205019077
6.5,8130106.274996957,0.7676338574179756
6.51,6984068.133803398,0.5093797546533533
6.52,4377090.154277057,-0.07809001169187813
6.53,1689429.9010922723,-0.6837411346985648
6.54,507720.98212759075,-0.9500334731702496
6.55,1570592.8300391126,-0.7105204887679212
6.56,4289939.276441505,-0.09772903673962167
6.57,7177671.555919292,0.5530073410953094
6.58,8843232.688630057,0.9283334148679266
6.59,8833237.834340094,0.9260811232258445
6.6,7747435.351885097,0.6814008322243822
6.61,6634555.618485199,0.43061881485208103
6.62,6193696.100160396,0.3312732736717142
6.63,6388808.292648506,0.3752408541546617
6.64,6695994.65525766,0.4444638019830239
6.65,6683701.368588241,0.44169356981995406
6.66,6394579.21421682,0.3765413031695589
6.67,6219260.8527936805,0.33703416592860935
6.68,6416640.741403153,0.3815127606667676
6.69,6744803.103172357,0.45546254754869614
6.7,6567178.265885121,0.41543565722674514
6.71,5382069.402797844,0.1483771579378328
6.72,3344200.6508421693,-0.3108466210720552
6.73,1323562.7123539234,-0.7661875203487251
6.74,402738.41378509917,-0.973690782659949
6.75,1161270.542497674,-0.8027592688843357
6.76,3273752.3264889913,-0.32672180719644817
6.77,5716056.0493578315,0.22363941897644415
6.78,7419176.4997508945,0.6074293017095479
6.79,7891392.745914754,0.7138409284961723
6.8,7386503.909744655,0.6000666929849638
6.81,6563907.182495245,0.41469853454683064
6.82,5960999.988421518,0.2788363403848748
6.83,5690001.345448447,0.21776811859030853
6.84,5534613.766289079,0.18275228587572187
6.85,5277504.242360985,0.12481390928283098
6.86,4927666.95204031,0.04597978301956417
6.87,4654582.977531887,-0.01555835806064499
6.88,4530579.112101651,-0.04350202403032915
6.89,4364979.752552898,-0.08081903162496235
6.9,3824457.541149595,-0.20262307436382726
6.91,2758604.6813757885,-0.44280781524279716
6.92,1438765.4378700878,-0.7402271483115161
6.93,466472.4847505042,-0.9593286207727665
6.94,382666.91291910596,-0.9782137974366544
6.95,1275377.2056844577,-0.7770458891445676
6.96,2706410.5405024965,-0.4545695101954311
6.97,4026550.1449331134,-0.15708249225796161
6.98,4830120.788371435,0.023998231035439146
6.99,5184370.215979122,0.1038266109063082
7.0,5460159.425830396,0.16597436357021866
7.01,5930209.838270467,0.2718979302958646
7.02,6499682.402916992,0.4002257938682672
7.03,6815379.656044411,0.4713666293440975
7.04,6658504.160221359,0.43601550186997706
7.05,6254281.453649817,0.34492588744056557
7.06,6175585.5852992125,0.3271921575221163
7.07,6860235.040547452,0.4814745713598237
7.08,8123552.997472681,0.7661571083060859
7.09,9112375.710805178,0.9889834815705978
7.1,8829104.256903958,0.9251496417213408
7.11,6889189.337143862,0.4879992808087596
7.12,3939660.885578501,-0.17666256285765214
7.13,1373617.4759385409,-0.7549079236285166
7.14,490119.85694636725,-0.9539998008411513
7.15,1678260.2556230421,-0.6862581598002343
7.16,4206118.286621098,-0.1166176877720969
7.17,6755311.321526924,0.4578305232776602
7.18,8294050.605857388,0.8045779123737838
7.19,8649549.20601322,0.8846877871827562
7.2,8401057.465896474,0.8286913861193198
7.21,8255135.397191831,0.7958085599965978
7.22,8452220.42417399,0.8402207091058853
7.23,8683019.168859493,0.8922300799858801
7.24,8533815.332706599,0.8586077235828242
7.25,8018304.34574513,0.7424398382239777
7.26,7678171.569577364,0.6657925768696884
7.27,8113764.7709046025,0.7639513792128435
7.28,9326443.35056478,1.0372225795987666
7.29,10472569.588841405,1.2954965346111682
7.3,10339086.755023684,1.265416829370143
7.31,8263260.673500283,0.7976395513635767
7.32,4805817.63312336,0.018521633593049945
7.33,1602396.1608677763,-0.7033537633572563
7.34,406360.8734180225,-0.972874479058284
7.35,1956760.0240840577,-0.6234995959804049
7.36,5473314.605938697,0.16893881921393583
7.37,9148896.35951542,0.9972132315466524
7.38,11294342.21096934,1.4806789849815851
7.39,11329515.92398317,1.488605209571132
7.4,9953693.128520073,1.178570256253268
7.41,8452186.973308548,0.840213171116589
7.42,7721248.085987291,0.6754996596410221
7.43,7747572.462980518,0.6814317295406705
7.44,7867086.322270579,0.7083635945366707
7.45,7496354.386445659,0.6248209618691898
7.46,6683354.726354894,0.4416154556841889
7.47,6023011.119352513,0.2928102461427799
7.48,6043632.967483691,0.29745727899015023
7.49,6624276.413266871,0.4283024461158468
7.5,6978663.864506878,0.5081619289387417
7.51,6263524.2657812135,0.34700871005197514
7.52,4333900.6909041,-0.08782254651018022
7.53,2017242.9810193127,-0.6098700567753678
7.54,640940.654886889,-0.9200130699895857
7.55,1136389.3710950129,-0.8083661194465996
7.56,3385382.0966293677,-0.301566583218126
7.57,6296970.313162768,0.3545456136218256
7.58,8546441.109632296,0.8614528808026848
7.59,9413753.406024715,1.0568974745474216
7.6,9111830.145797204,0.9888605411582593
7.61,8418745.599748489,0.8326773207696055
7.62,7972076.881261594,0.7320227046800227
7.63,7813554.853498191,0.6963005392677707
7.64,7518767.08322577,0.6298715537207445
7.65,6736574.24100051,0.45360821361287185
7.66,5624559.617829174,0.2030211446090753
7.67,4776257.705675705,0.011860448187099333
7.68,4692386.831933874,-0.007039443943649058
7.69,5262077.614679358,0.12133759401250913
7.7,5737525.329828403,0.22847741656625825
7.71,5283466.984851816,0.12615758420658374
7.72,3690211.212443216,-0.23287482945236493
7.73,1667150.9017975857,-0.6887615984741863
